id,name_ja,category,lat,lon

R001,サイクルベースあさひ 西大分店,レンタサイクル,33.24570026705905, 131.59589128349367
R002,サイクルベースあさひ 別府店,レンタサイクル,33.302417181509426, 131.50266026815058
R003,サイクルベースあさひ 南大分店,レンタサイクル,33.205786704222795, 131.60294175094836
R004,サイクルベースあさひ 下郡店,レンタサイクル,33.23192574160321, 131.63260453931176
R005,サイクルベースあさひ アクロスプラザ森町店,レンタサイクル,33.231546087646954, 131.68037375280304
R006,サイクルベースあさひ 中津店,レンタサイクル,33.59827584849245, 131.22743568165234
R007,日田市観光案内所,レンタサイクル,33.31762931672493, 130.93825112582368
R008,ジャイアントストア別府,レンタサイクル,33.292922561050574, 131.5025348816414
R009,WANDER COMPASS BEPPU,レンタサイクル,33.280131626599655, 131.50021388497748
R010,由布院レンタサイクル,レンタサイクル,33.262902947661324, 131.3550688135718
R011,ゆふいんバーガーハウス,レンタサイクル,33.26473312004505, 131.35841221047679
R012,国東市サイクリングターミナル,レンタサイクル,33.54571248573069, 131.73944588350446
R013,佐伯市観光案内所,レンタサイクル,32.9723106870044, 131.9022647393028
R014,やまなみレンタサイクル（九重町）,レンタサイクル,33.160801241087356, 131.23907355465445
R015,杵築観光案内所（城下町観光交流館内））,レンタサイクル,33.41872609872992, 131.622124195137
R016,杵築駅観光案内所（杵築市観光協会）,レンタサイクル,33.41109182217567, 131.57567576815444
R017,大分駅レンタサイクルポート,レンタサイクル,33.232119203307214, 131.60730896814815
R018,耶馬溪サイクリングターミナル,レンタサイクル,33.448715663932205, 131.11627613931952
R019,ピ・ボーン be・born,レンタサイクル,33.72286884391854, 131.64904878351038
R020,さいきんぐターミナル,レンタサイクル,32.972704887837374, 131.902110283484
R021,春の泊キャンプ村風水園,レンタサイクル,33.49512151897594, 131.17136353932122
R022,東レンタサイクル,レンタサイクル,33.7228539145816, 131.64849243932898
R023,堀切 レンタサイクル,レンタサイクル,32.99852514156206, 131.92220076814007
R024,竹田観光案内所（NPO法人竹田市観光ツーリズム協会）,レンタサイクル,32.97100191475885, 131.39002415589934
R025,宇佐市観光協会（宇佐神宮前）,レンタサイクル,33.52835876594957, 131.37321192583101
R026,天瀬観光案内所,レンタサイクル,33.255306267944924, 131.02471872891695
R027,臼杵市観光交流プラザ,レンタサイクル,33.1205666148815, 131.80026886814423
R028,臼杵駅観光案内所,レンタサイクル,33.11881571936094, 131.80778113930785
R029,OitaCycleTour Ring(日出町),レンタサイクル,33.374433103610826, 131.5319327951356
R030,Space Beppu(別府市),レンタサイクル,33.2740238222073, 131.5051938681497
R031,城下町レンタサイクル（中津駅南口観光案内所）,33.599341823291375, 131.19097961515246
R032,まるい商事,レンタサイクル,33.723343554394376, 131.6485319816566
R033,二の丸館(一社)ひじ町ツーリズム協会,レンタサイクル,33.36865519750312, 131.53148528349803
R034,昭和ロマン蔵,レンタサイクル,33.557971348687275, 131.43872141048723
R035,真玉温泉山翆荘,レンタサイクル,33.59306190572332, 131.5098104276872
R036,長崎鼻リゾートキャンプ場,レンタサイクル,33.68146413918746, 131.5256456766076
R037,JR柳ヶ浦駅レンタサイクルサービス,レンタサイクル,33.56513909300656, 131.36270853535882
R038,道の駅 いんない,レンタサイクル,33.423839263825734, 131.32030305837145
R039,宇佐市観光協会安心院部会,レンタサイクル,33.438894155920394, 131.35430832582804
R040,由布川峡谷観光案内事務所,レンタサイクル,33.2357424413686, 131.45094389698468
R041,湯布院塚原高原観光協会,レンタサイクル,33.30227581375321, 131.38244136815055
R042,津久見駅観光案内所（つくみんちゃり）,レンタサイクル,33.07325930028491, 131.86335502891689
R043,たけた駅前ホステルcue,レンタサイクル,32.97011499183076, 131.3913266411566
R044,長湯温泉観光案内所,レンタサイクル,33.07183819558897, 131.3831346393063
R045,中津市歴史博物館,レンタサイクル,33.60543186642678, 131.18454022583393
R046,大入島食彩館,レンタサイクル,32.99871972232092, 131.9221443258123
R047,フォレストアドベンチャー・別府,レンタサイクル,	33.26625837070337, 131.45274781047675
R048,レンタサイクルのレンチャ,レンタサイクル,33.21270800136966, 131.5271232037078
